id,displayNameRU,archetype,inspirationTag,primary,secondary,accent,skin,hair,silhouetteNotes,outfitNotes,animations
char_calm_blue_a,Кайне,спокойный плеймейкер,calm_blue_playmaker_vibe,#2D6CDF,#0B1B3A,#7FE7FF,#F2C8A2,#7FA9FF,"высокий, узкие плечи",минималистичная форма,idle|run|jump|shoot|celebrate|defeat
char_calm_blue_b,Аоми,спокойный плеймейкер,calm_blue_playmaker_vibe,#5A84E6,#142B5E,#B2E9FF,#E9BF98,#B8CCFF,"средний рост, браслет",светлая форма с лентой,idle|run|jump|shoot|celebrate|defeat
char_calm_blue_c,Акар,спокойный плеймейкер,calm_blue_playmaker_vibe,#325AC8,#08152F,#6BE1F0,#D8A882,#6E8CCB,"худощавый, повязка",тёмно-синие вставки,idle|run|jump|shoot|celebrate|defeat
char_calm_blue_d,Тока,быстрый разыгрывающий,calm_blue_playmaker_vibe,#2F88D8,#14344B,#71FFF5,#EAC09D,#5CC7DA,"низкий, компактный",кеды с бирюзой,idle|run|jump|shoot|celebrate|defeat
char_urban_dark_a,Киро,ночной защитник,urban_dark_contrast_vibe,#1C1E26,#090A0D,#D74A4A,#D8A888,#2F3444,чёткий контур плеч,чёрная форма и белые детали,idle|run|jump|shoot|celebrate|defeat
char_urban_dark_b,Вейл,урбан-скорер,urban_dark_contrast_vibe,#D9DBE5,#282C39,#8A4AA9,#C99875,#3A2F4A,плотный корпус,"светлый верх, тёмный низ",idle|run|jump|shoot|celebrate|defeat
char_urban_dark_c,Тень,ночной защитник,urban_dark_contrast_vibe,#273B2D,#1C2222,#6AD69A,#B98861,#1A201D,высокий воротник,графит и зелёный акцент,idle|run|jump|shoot|celebrate|defeat
char_urban_dark_d,Неон,стрит-плеймейкер,urban_dark_contrast_vibe,#2B2E3A,#11141E,#49D7FF,#D1A07B,#A1A8BB,гладкий монохром,неоновая линия на форме,idle|run|jump|shoot|celebrate|defeat
char_ego_striker_a,Рокет,эго-нападающий,ego_striker_vibe,#FFFFFF,#2E59D9,#9DBBFF,#E0B18A,#4C5975,короткая стрижка,бело-синий комплект,idle|run|jump|shoot|celebrate|defeat
char_ego_striker_b,Рэд,эго-нападающий,ego_striker_vibe,#3456A8,#19264E,#FF7A44,#C8946C,#E18042,чёткий профиль,рукав на правой руке,idle|run|jump|shoot|celebrate|defeat
char_ego_striker_c,Коготь,дриблёр,ego_striker_vibe,#17181E,#2A2A2A,#F0D44C,#B98763,#242934,повязка на колене,чёрно-жёлтый контраст,idle|run|jump|shoot|celebrate|defeat
char_ego_striker_d,Спарк,прорывной форвард,ego_striker_vibe,#4777FF,#1E2F7A,#8FD2FF,#D4A27A,#3D63C9,широкие шаги,градиент без брендов,idle|run|jump|shoot|celebrate|defeat
char_extra_pose_a,Флэш,экстра-поза,extra_pose_vibe,#A956F0,#2D1545,#4EF2C2,#D6A57D,#7D3FB6,динамичная стойка,геометрический узор,idle|run|jump|shoot|celebrate|defeat
char_extra_pose_b,Призма,экстра-поза,extra_pose_vibe,#F1A6C7,#4F5EA2,#FFD96D,#E0B795,#B88FB2,широкие плечи,пастель и контраст,idle|run|jump|shoot|celebrate|defeat
char_extra_pose_c,Вольт,экстра-поза,extra_pose_vibe,#7A43D6,#1E8D73,#C7FF67,#C78D6A,#6B2FAA,лёгкий наклон корпуса,декоративная лента,idle|run|jump|shoot|celebrate|defeat
char_extra_pose_d,Кадр,экстра-поза,extra_pose_vibe,#E5E5E5,#2B2B2B,#6FA3FF,#D0A27D,#888899,замершая поза,монохром и принт-волна,idle|run|jump|shoot|celebrate|defeat
char_adventurer_a,Искра,приключенец,adventurer_friendly_vibe,#49B44D,#1D4A2A,#EAFB7A,#E6B88F,#3A7A4A,энергичная стойка,шорты и леггинсы,idle|run|jump|shoot|celebrate|defeat
char_adventurer_b,Трюк,приключенец,adventurer_friendly_vibe,#F6C949,#3A63A8,#8AE7FF,#D9AA83,#5C7DA8,высокий прыжок,жилет-форма,idle|run|jump|shoot|celebrate|defeat
char_adventurer_c,Поиск,приключенец,adventurer_friendly_vibe,#E45757,#4A1F1F,#FFBA7A,#C98C67,#9D4237,ремешки на поясе,яркий экспедиционный стиль,idle|run|jump|shoot|celebrate|defeat
char_adventurer_d,Планер,приключенец,adventurer_friendly_vibe,#3473D4,#1F2D5D,#FF9940,#D5A079,#355A9A,ровная осанка,сине-оранжевый контраст,idle|run|jump|shoot|celebrate|defeat
